Obs_Yield_t_ha,HarvestDOY,RainYearly,RadiationYearly,TmaxYearly,TminYearly
6.28,227,928.8333333,3778.179333,12.39639269,4.342785388
6.84,209,749.4833333,3920.636333,14.45616438,5.375844749
6.81,215,701.7,4041.565833,14.40789954,5.014246575
6.04,210,813.0333333,3893.599167,13.44216758,4.661338798
5.98,216,967.1,4029.8575,13.62534247,4.533105023
4.34,206,638.4666667,4429.6595,15.41255708,5.349315068
5.59,208,776.8833333,4271.047833,14.75392694,4.989954338
5.77,214,774.95,4309.622167,14.53055556,4.92431694
5.29,223,903.0166667,4065.4325,13.07228311,4.157990868
5.55,190,823.85,4459.607833,16.18410959,5.338675799
6.02,219,857.1666667,4049.230333,13.5460274,4.877808219
5.74,214,732.3666667,4037.838,14.1715847,5.400364299
6.13,213,929.8,4046.673333,13.31598174,4.641187215
6.23,211,1025.766667,4098.717,13.91315068,5.144748858
5.38,206,562.2,4606.104333,14.74493151,4.172237443
7.8,222,769.3666667,4163.187,13.2208561,4.270491803
6.03,224,769.0666667,4173.391,13.1252968,3.768584475
5.98,225,678.8,4287.749,13.84182648,4.396073059
6.36,197,917.7333333,4355.313333,14.30420091,4.77716895
6.3,215,713.3,4158.712333,13.9651184,4.594990893
5.93,220,809.3333333,4155.123333,13.54401826,4.123926941
5.49,220,871.6666667,4006.264,12.18018265,3.186757991
5.92,217,747.8666667,4374.758667,14.51497717,4.314246575
5.8,213,708.4666667,4258.023667,13.94626594,3.910928962
6.44,224,821.5333333,3936.878333,12.94347032,4.169497717
7.29,208,644.7,4082.973333,14.92794521,5.188675799
6.92,213,567.4666667,4226.391667,14.95744292,4.756894977
6.09,207,741.5333333,4050.161,13.99089253,4.510382514
6.2,213,761.2,4252.119,14.22977169,4.370593607
5.99,204,693.7,4598.22,15.79844749,5.134246575
6.19,207,641.4333333,4438.561,15.22109589,4.73086758
7.18,211,706.7,4505.124667,15.00992714,4.577959927
6.63,222,901.3333333,4234.146333,13.55972603,3.976621005
4.64,188,678.0666667,4613.531,16.65863014,5.186757991
6.35,221,899.7181818,4039.274727,13.24353674,4.668443337
6.43,218,755.8363636,4036.925091,13.97985594,5.25342772
6.87,215,927.1727273,4074.454818,13.08540473,4.479053549
6.88,214,1068.990909,4160.687727,13.68682441,4.991033624
5.56,206,590.3454545,4662.993909,14.50169365,4.080174346
7.67,225,822.9181818,4233.958455,12.91015897,4.101515152
6.85,226,851.4545455,4199.58,12.83544209,3.65750934
6.94,227,724.1636364,4300.825545,13.60777086,4.390635118
7.3,198,927.4818182,4382.410727,14.01544209,4.709763387
7.19,217,735.9818182,4166.988273,13.67896175,4.588946846
6.77,222,788.9090909,4153.076,13.29297634,4.173424658
6.75,221,816.9363636,3993.146,11.94244085,3.265529265
7.28,218,702.5545455,4391.111,14.30919054,4.375865504
7.34,214,684.8545455,4288.458545,13.70598609,4.037034277
7.63,224,793.8727273,3946.012091,12.77521793,4.352652553
8.27,208,669.2818182,4069.507455,14.64423412,5.405853051
7.92,216,551.5636364,4220.825545,14.44224159,4.760273973
7.17,211,716.0090909,4054.842182,13.55548932,4.585643318
7.56,216,771.7545455,4298.025909,13.77783313,4.479975093
8.01,207,675.4636364,4633.979364,15.1992528,5.148468244
7.43,211,655.7909091,4484.479182,14.67317559,4.715815691
8.03,214,688.4181818,4574.877727,14.54279682,4.633010432
7.42,224,784.6454545,4270.218364,13.1517061,3.975691158
7.12,191,761.2636364,4679.421091,16.25481943,5.28483188
6.48,218,832.9,4120.441273,13.57200498,4.914246575
7.19,212,827.4727273,4213.428455,14.29098361,5.407600596
7.3,213,938.2909091,4155.535182,13.29576588,4.696313823
6.9,208,1038.881818,4232.865091,14.16854296,5.225330012
5.81,206,561.5,4672.864727,14.58166874,4.186450809
8.52,223,753.9545455,4200.430273,13.20725286,4.21077993
7.33,221,805.7909091,4225.048273,12.99153176,3.780722291
7.15,223,717.6909091,4320.098636,13.69785803,4.27384807
8,195,796.5454545,4437.550636,14.54968867,4.928767123
8.07,217,754.9545455,4267.957636,13.98435171,4.585146547
7.29,217,859.8818182,4283.108,13.59805729,4.402266501
6.71,219,776.0727273,4137.486182,12.40259029,3.287970112
7.74,217,658.7272727,4470.514091,14.44004981,4.293300125
7.53,212,821.4090909,4358.116636,13.89908097,4.256979632
7.23,220,710.0909091,4107.792,13.2188543,4.558480697
9.25,209,666.3818182,4193.824364,14.96420922,5.163038605
8.71,208,614.4545455,4335.569,15.10430884,4.97750934
7.71,205,802.3636364,4232.629091,14.22272727,4.774863388
8.29,211,736.7818182,4392.658273,14.23775841,4.465255293
7.29,203,636.0545455,4656.257636,15.87399751,5.409613948
8.52,206,633.7727273,4490.854727,15.20470735,4.909265255
8.8,211,752.6727273,4538.012364,14.89965226,4.855886736
7.98,219,776.5545455,4380.615636,13.76707347,4.104358655
8.24,188,654.2909091,4606.568,16.57021171,5.355990037
6.41,217,825.9666667,4107.885333,13.72666667,4.934840183
7.33,213,815.25,4144.122333,14.28401639,5.349043716
7.36,213,984.1,4138.270667,13.42073059,4.673287671
6.81,210,1045.033333,4204.360333,14.12054795,5.195388128
5.9,204,582.5833333,4666.301833,14.88013699,4.246027397
8.77,221,761.4666667,4215.846667,13.43551913,4.369216758
7.38,223,824.1333333,4205.517,13.00118721,3.58347032
7.07,224,703.8833333,4336.631,13.82817352,4.333242009
7.96,196,887,4455.569667,14.49091324,4.816757991
8,215,704.4833333,4251.085167,14.0545082,4.754918033
7.27,218,787.6833333,4222.952,13.64958904,4.33283105
7,219,826.6,4100.089,12.28561644,3.354200913
7.7,216,731.3,4435.476667,14.47401826,4.413150685
7.9,211,759.7333333,4327.168167,13.88260474,4.28629326
7.81,221,766.35,4044.176,13.02721461,4.470639269
9.19,207,656.1333333,4155.597167,14.96292237,5.467671233
8.37,208,595.5,4298.336167,15.15086758,5.148675799
7.86,204,729.4833333,4164.073167,14.30819672,4.917577413
8.41,210,772.1333333,4321.312667,14.42853881,4.554109589
7.92,202,663.6333333,4631.241,15.85305936,5.527899543
8.18,206,669.1166667,4485.648667,15.36680365,5.018127854
8.84,209,663.85,4558.034167,15.22131148,4.961748634
7.7,217,766,4298.9915,13.88894977,4.249589041
8.34,186,638.1833333,4600.591,16.82575342,5.531141553
5.89,217,958.6615385,4155.153846,13.61266596,5.06971549
6.85,210,978.3076923,4277.214077,14.36040353,5.623182009
6.79,214,1030.030769,4210.309692,13.17574289,4.616206533
6.48,207,1128.715385,4275.086,14.22429926,5.29540569
5.92,205,624.7923077,4670.936462,14.54134879,4.350495258
7.94,222,879.4615385,4240.048077,13.204876,4.442286675
6.83,220,954.2769231,4280.426769,13.0138883,3.914857745
